9 21.357 12.191 12.191 12.511
10 23.269 12.224 12.224 12.482
11 24.751 12.238 12.238 12.459
12 23.382 12.218 12.218 12.373
13 23.325 12.264 12.264 12.696
14 21.533 11.708 11.708 12.372
16 25.311 11.663 11.663 12.345
17 23.483 12.237 12.237 12.352
19 23.529 12.221 12.221 12.024
21 23.492 12.221 12.221 12.241
23 23.504 11.887 11.887 12.295
25 25.772 12.136 12.136 12.317
28 23.529 11.608 11.608 12.269
30 23.494 12.001 12.001 12.232
33 21.808 10.940 10.940 8.547
37 16.028 10.616 10.616 5.346
40 15.963 10.842 10.842 5.477
44 17.020 10.620 10.620 5.366
49 16.020 10.613 10.613 5.367
54 17.005 10.623 10.623 5.361
59 16.999 10.616 10.616 5.369
65 16.956 10.984 10.984 5.273
72 17.043 10.628 10.628 5.371
79 15.998 11.075 11.075 5.280
87 16.040 10.628 10.628 5.380
95 16.023 11.056 11.056 5.271
105 17.018 10.495 10.495 5.483
115 15.071 10.617 10.617 5.257
127 17.029 11.072 11.072 5.375
140 16.011 11.064 11.064 5.230
154 17.005 11.058 11.058 5.304
169 15.989 10.621 10.621 5.363
186 16.012 10.604 10.604 5.254
204 16.928 11.274 11.274 5.332
225 14.240 10.615 10.615 5.073
247 14.213 10.506 10.506 4.076
272 13.826 10.441 10.441 3.468
299 14.354 10.477 10.477 3.469
329 13.271 10.369 10.369 2.619
362 12.577 9.950 9.950 2.433
398 12.415 9.878 9.878 2.285
438 12.147 9.772 9.772 2.160
482 12.164 9.771 9.771 2.067
530 11.631 9.745 9.745 1.999
583 12.175 9.676 9.676 2.000
641 11.626 10.030 10.030 1.995
706 12.164 9.663 9.663 2.011
776 12.164 9.663 9.663 2.001
854 12.154 9.669 9.669 2.001
939 12.760 9.674 9.674 2.015
1033 12.172 10.034 10.034 1.986
1136 12.161 9.329 9.329 2.000
1250 12.178 10.023 10.023 2.010
1375 11.625 10.012 10.012 1.998
1512 12.167 9.668 9.668 1.985
1664 12.059 9.634 9.634 2.000
1830 12.164 10.024 10.024 1.998
2013 11.611 9.969 9.969 1.997
2214 11.980 9.109 9.109 1.977
2436 12.259 9.458 9.458 1.979
2679 11.696 9.676 9.676 1.991
2947 11.697 9.658 9.658 1.988
3242 12.248 9.321 9.321 1.993
3566 12.326 9.634 9.634 1.983
3923 11.679 9.656 9.656 1.998
4315 11.564 9.664 9.664 1.976
4747 11.687 9.493 9.493 1.997
5221 11.695 9.489 9.489 1.996
5744 12.657 9.226 9.226 2.008
6318 11.696 9.297 9.297 1.988
6950 11.647 9.620 9.620 1.989
7645 11.699 9.313 9.313 1.984
8409 12.146 9.284 9.284 2.006
9250 12.231 9.541 9.541 1.981
10175 12.265 9.658 9.658 1.999
11193 11.483 9.636 9.636 1.975
12312 12.010 10.014 10.014 2.003
13543 11.585 9.238 9.238 1.994
14897 11.488 9.286 9.286 1.988
16387 11.759 9.449 9.449 1.966
18026 12.182 9.046 9.046 1.971
19829 11.446 8.938 8.938 1.931
21811 10.757 7.978 7.978 1.868
23993 9.297 6.447 6.447 1.592
26392 8.890 5.381 5.381 1.303
29031 8.312 4.863 4.863 1.103
31934 7.828 4.693 4.693 0.945
35127 7.481 4.535 4.535 0.876
38640 7.475 4.474 4.474 0.852
42504 7.323 4.577 4.577 0.841
46755 7.353 4.449 4.449 0.833
51430 7.330 4.519 4.519 0.825
56573 7.255 4.421 4.421 0.826
62230 7.220 4.459 4.459 0.829
68454 7.119 4.521 4.521 0.825
75299 7.370 4.419 4.419 0.828
82829 7.110 4.418 4.418 0.822
91112 7.247 4.500 4.500 0.827
100223 7.247 4.565 4.565 0.832
110245 6.989 4.515 4.515 0.824
121270 7.340 4.464 4.464 0.828
133397 7.426 4.476 4.476 0.830
146736 7.336 4.519 4.519 0.824
161410 7.325 4.456 4.456 0.829
177551 7.257 4.444 4.444 0.827
195306 7.338 4.404 4.404 0.829
214837 7.393 4.465 4.465 0.827
236320 7.214 4.488 4.488 0.825
259952 7.168 4.461 4.461 0.828
285947 7.117 4.549 4.549 0.829
314542 7.330 4.487 4.487 0.829
345996 7.164 4.452 4.452 0.825
380596 7.797 4.524 4.524 0.826
418656 7.305 4.501 4.501 0.828
460521 7.383 4.434 4.434 0.825
506573 7.342 4.457 4.457 0.825
557231 7.389 4.537 4.537 0.829
612954 7.716 4.605 4.605 0.829
674249 7.317 4.563 4.563 0.828
741674 7.710 4.576 4.576 0.830
815842 7.462 4.532 4.532 0.826
897426 7.070 4.448 4.448 0.827
987168 7.161 4.496 4.496 0.823
