9 39.639 21.916 21.916 38.840
10 39.397 21.916 21.916 38.803
11 40.104 21.926 21.926 38.952
12 40.127 22.012 22.012 38.085
13 40.360 21.812 21.812 37.988
14 40.356 22.034 22.034 38.383
16 40.561 22.078 22.078 38.718
17 40.622 22.075 22.075 38.649
19 40.759 22.130 22.130 38.806
21 40.865 21.854 21.854 38.580
23 40.664 21.873 21.873 38.669
25 40.686 21.837 21.837 38.473
28 40.771 22.008 22.008 38.700
30 41.017 21.864 21.864 38.870
33 38.618 21.364 21.364 27.361
37 33.301 20.233 20.233 13.257
40 33.235 19.686 19.686 9.872
44 33.324 19.700 19.700 9.781
49 33.183 19.722 19.722 9.700
54 33.171 19.700 19.700 9.853
59 33.312 19.761 19.761 9.710
65 33.414 19.775 19.775 9.783
72 33.276 19.714 19.714 9.760
79 33.190 19.745 19.745 9.692
87 33.073 19.602 19.602 9.599
95 33.361 19.678 19.678 9.735
105 33.344 19.752 19.752 9.784
115 33.252 19.685 19.685 9.670
127 33.195 19.710 19.710 9.586
140 33.114 19.687 19.687 9.599
154 33.173 19.669 19.669 9.521
169 33.114 19.688 19.688 9.424
186 33.095 19.653 19.653 9.367
204 32.998 19.680 19.680 9.415
225 31.836 19.444 19.444 7.983
247 30.615 19.008 19.008 6.851
272 29.593 18.455 18.455 6.082
299 28.496 18.082 18.082 5.347
329 27.671 17.793 17.793 4.992
362 27.352 17.520 17.520 4.685
398 26.804 17.479 17.479 4.410
438 26.703 17.477 17.477 4.392
482 26.624 17.330 17.330 4.280
530 26.598 17.351 17.351 4.287
583 26.561 17.450 17.450 4.286
641 26.494 17.354 17.354 4.291
706 26.617 17.356 17.356 4.281
776 26.615 17.361 17.361 4.283
854 26.605 17.281 17.281 4.287
939 26.586 17.396 17.396 4.293
1033 26.588 17.329 17.329 4.298
1136 26.501 17.431 17.431 4.299
1250 26.482 17.380 17.380 4.299
1375 26.550 17.426 17.426 4.284
1512 26.663 17.406 17.406 4.300
1664 26.603 17.486 17.486 4.302
1830 26.553 17.416 17.416 4.307
2013 26.561 17.396 17.396 4.296
2214 26.503 17.364 17.364 4.286
2436 26.670 17.346 17.346 4.282
2679 26.492 17.306 17.306 4.285
2947 26.641 17.357 17.357 4.265
3242 26.532 17.355 17.355 4.281
3566 26.471 17.412 17.412 4.296
3923 26.618 17.300 17.300 4.278
4315 26.584 17.351 17.351 4.295
4747 26.929 17.403 17.403 4.306
5221 26.629 17.349 17.349 4.299
5744 26.595 17.319 17.319 4.291
6318 26.612 17.221 17.221 4.277
6950 26.693 17.162 17.162 4.269
7645 26.806 16.985 16.985 4.264
8409 27.078 17.012 17.012 4.264
9250 27.346 16.869 16.869 4.263
10175 27.383 16.775 16.775 4.257
11193 27.337 16.736 16.736 4.252
12312 27.480 16.759 16.759 4.268
13543 27.403 16.687 16.687 4.272
14897 27.511 16.702 16.702 4.271
16387 27.351 16.676 16.676 4.268
18026 27.040 16.453 16.453 4.241
19829 26.564 15.657 15.657 4.197
21811 25.867 15.042 15.042 4.215
23993 25.789 15.731 15.731 4.196
26392 22.736 14.319 14.319 4.138
29031 23.281 13.804 13.804 4.039
31934 19.079 12.027 12.027 3.539
35127 14.992 10.647 10.647 3.372
38640 13.892 10.166 10.166 2.861
42504 12.827 8.883 8.883 2.327
46755 11.129 7.708 7.708 1.585
51430 10.529 7.343 7.343 1.567
56573 10.233 7.409 7.409 1.385
62230 9.822 7.196 7.196 1.293
68454 9.652 6.990 6.990 1.235
75299 9.412 6.938 6.938 1.202
82829 9.487 6.951 6.951 1.202
91112 9.635 6.965 6.965 1.192
100223 9.481 6.933 6.933 1.187
110245 9.402 6.871 6.871 1.185
121270 9.451 6.843 6.843 1.174
133397 9.495 7.001 7.001 1.200
146736 9.481 6.938 6.938 1.186
161410 9.473 6.925 6.925 1.187
177551 9.539 7.011 7.011 1.194
195306 9.530 7.024 7.024 1.203
214837 9.556 6.983 6.983 1.192
236320 9.516 6.976 6.976 1.201
259952 9.561 7.012 7.012 1.195
285947 9.575 6.974 6.974 1.199
314542 9.578 6.954 6.954 1.198
345996 9.496 6.913 6.913 1.206
380596 9.472 6.873 6.873 1.183
418656 9.682 7.039 7.039 1.200
460521 9.715 7.068 7.068 1.223
506573 9.728 7.072 7.072 1.204
557231 9.773 7.124 7.124 1.231
612954 9.768 7.057 7.057 1.212
674249 9.689 7.075 7.075 1.218
741674 9.722 7.054 7.054 1.213
815842 9.780 7.094 7.094 1.228
897426 9.739 7.118 7.118 1.230
987168 9.762 7.102 7.102 1.230
