buffer_size: 9 KB	read: 45.592 GB/s	write: 24.889 GB/s stride_read: 44.672 GB/s stride_writ: 25.326 GB/s
buffer_size: 9 KB	read: 45.571 GB/s	write: 25.316 GB/s stride_read: 44.682 GB/s stride_writ: 25.539 GB/s
buffer_size: 9 KB	read: 45.566 GB/s	write: 25.298 GB/s stride_read: 44.690 GB/s stride_writ: 25.466 GB/s
buffer_size: 9 KB	read: 45.661 GB/s	write: 25.246 GB/s stride_read: 44.716 GB/s stride_writ: 25.545 GB/s
buffer_size: 9 KB	read: 45.695 GB/s	write: 25.311 GB/s stride_read: 44.726 GB/s stride_writ: 25.539 GB/s
buffer_size: 9 KB	read: 45.635 GB/s	write: 25.231 GB/s stride_read: 44.637 GB/s stride_writ: 25.531 GB/s
buffer_size: 9 KB	read: 45.632 GB/s	write: 25.277 GB/s stride_read: 44.701 GB/s stride_writ: 25.525 GB/s
buffer_size: 9 KB	read: 45.710 GB/s	write: 24.858 GB/s stride_read: 44.684 GB/s stride_writ: 25.523 GB/s
buffer_size: 9 KB	read: 45.688 GB/s	write: 25.173 GB/s stride_read: 44.664 GB/s stride_writ: 25.281 GB/s
buffer_size: 9 KB	read: 45.657 GB/s	write: 25.315 GB/s stride_read: 44.719 GB/s stride_writ: 25.518 GB/s
buffer_size: 9 KB	read: 45.662 GB/s	write: 24.964 GB/s stride_read: 44.565 GB/s stride_writ: 25.523 GB/s
buffer_size: 10 KB	read: 45.788 GB/s	write: 25.080 GB/s stride_read: 44.838 GB/s stride_writ: 25.529 GB/s
buffer_size: 10 KB	read: 45.821 GB/s	write: 25.198 GB/s stride_read: 44.870 GB/s stride_writ: 25.549 GB/s
buffer_size: 10 KB	read: 45.814 GB/s	write: 25.164 GB/s stride_read: 45.002 GB/s stride_writ: 25.539 GB/s
buffer_size: 10 KB	read: 45.847 GB/s	write: 25.306 GB/s stride_read: 45.011 GB/s stride_writ: 25.539 GB/s
buffer_size: 10 KB	read: 45.793 GB/s	write: 24.700 GB/s stride_read: 44.908 GB/s stride_writ: 25.421 GB/s
buffer_size: 10 KB	read: 45.841 GB/s	write: 25.047 GB/s stride_read: 44.689 GB/s stride_writ: 25.532 GB/s
buffer_size: 10 KB	read: 45.844 GB/s	write: 25.307 GB/s stride_read: 44.785 GB/s stride_writ: 25.464 GB/s
buffer_size: 10 KB	read: 45.812 GB/s	write: 25.048 GB/s stride_read: 45.043 GB/s stride_writ: 25.542 GB/s
buffer_size: 10 KB	read: 45.800 GB/s	write: 25.260 GB/s stride_read: 44.774 GB/s stride_writ: 25.501 GB/s
buffer_size: 10 KB	read: 45.841 GB/s	write: 25.203 GB/s stride_read: 44.749 GB/s stride_writ: 25.506 GB/s
buffer_size: 10 KB	read: 45.860 GB/s	write: 25.333 GB/s stride_read: 44.666 GB/s stride_writ: 25.550 GB/s
buffer_size: 11 KB	read: 45.908 GB/s	write: 25.353 GB/s stride_read: 44.713 GB/s stride_writ: 25.539 GB/s
buffer_size: 11 KB	read: 45.929 GB/s	write: 25.352 GB/s stride_read: 44.721 GB/s stride_writ: 25.532 GB/s
buffer_size: 11 KB	read: 45.929 GB/s	write: 25.360 GB/s stride_read: 44.672 GB/s stride_writ: 25.545 GB/s
buffer_size: 11 KB	read: 45.852 GB/s	write: 25.337 GB/s stride_read: 44.644 GB/s stride_writ: 25.542 GB/s
buffer_size: 11 KB	read: 45.937 GB/s	write: 25.355 GB/s stride_read: 44.700 GB/s stride_writ: 25.545 GB/s
buffer_size: 11 KB	read: 45.905 GB/s	write: 25.352 GB/s stride_read: 44.650 GB/s stride_writ: 25.549 GB/s
buffer_size: 11 KB	read: 45.931 GB/s	write: 25.356 GB/s stride_read: 44.698 GB/s stride_writ: 25.492 GB/s
buffer_size: 11 KB	read: 45.877 GB/s	write: 25.349 GB/s stride_read: 44.723 GB/s stride_writ: 25.547 GB/s
buffer_size: 11 KB	read: 45.922 GB/s	write: 25.347 GB/s stride_read: 44.617 GB/s stride_writ: 25.536 GB/s
buffer_size: 11 KB	read: 45.924 GB/s	write: 25.199 GB/s stride_read: 44.772 GB/s stride_writ: 25.535 GB/s
buffer_size: 11 KB	read: 45.906 GB/s	write: 25.283 GB/s stride_read: 44.668 GB/s stride_writ: 25.542 GB/s
