9 24.112 20.905 20.905 23.330
10 23.340 20.785 20.785 23.266
11 24.106 21.076 21.076 23.482
12 24.131 21.166 21.166 23.595
13 24.280 21.459 21.459 23.613
14 24.341 21.078 21.078 23.621
16 24.061 20.785 20.785 23.625
17 24.114 21.079 21.079 23.644
19 24.093 21.041 21.041 23.553
21 23.763 20.679 20.679 23.318
23 24.049 21.058 21.058 22.781
25 24.090 21.016 21.016 22.316
28 24.134 20.865 20.865 22.199
30 24.133 20.944 20.944 22.763
33 22.058 18.696 18.696 10.251
37 17.918 15.833 15.833 5.026
40 17.937 15.831 15.831 5.045
44 17.838 15.824 15.824 5.038
49 17.949 15.729 15.729 5.041
54 17.859 15.429 15.429 4.998
59 17.779 15.741 15.741 5.041
65 17.978 15.836 15.836 4.975
72 17.977 15.841 15.841 4.993
79 18.028 15.879 15.879 5.033
87 18.041 15.935 15.935 5.020
95 18.047 15.959 15.959 5.005
105 18.053 15.852 15.852 5.017
115 18.027 15.836 15.836 5.024
127 18.103 16.130 16.130 5.036
140 17.918 15.721 15.721 4.991
154 17.971 15.814 15.814 5.028
169 18.051 15.554 15.554 4.993
186 18.002 15.801 15.801 5.027
204 18.078 15.885 15.885 5.030
225 18.049 15.877 15.877 5.031
247 18.104 15.953 15.953 5.065
272 18.108 16.020 16.020 5.048
299 18.073 15.909 15.909 5.050
329 18.081 15.959 15.959 5.043
362 18.094 15.889 15.889 5.067
398 18.079 15.942 15.942 5.042
438 18.102 15.947 15.947 5.050
482 18.068 15.900 15.900 5.052
530 18.139 15.850 15.850 5.047
583 18.076 15.860 15.860 5.051
641 18.115 15.883 15.883 5.051
706 18.098 15.895 15.895 5.045
776 18.059 15.782 15.782 5.047
854 18.033 15.812 15.812 5.045
939 18.038 15.853 15.853 5.047
1033 18.055 15.838 15.838 5.056
1136 17.968 15.131 15.131 5.024
1250 17.863 14.318 14.318 4.995
1375 17.861 14.516 14.516 5.020
1512 17.922 14.560 14.560 5.032
1664 17.976 14.509 14.509 5.008
1830 17.881 14.391 14.391 5.007
2013 17.887 14.475 14.475 5.012
2214 17.748 14.280 14.280 5.010
2436 17.686 14.296 14.296 4.995
2679 17.823 15.380 15.380 5.047
2947 17.750 15.714 15.714 5.052
3242 17.457 14.686 14.686 4.969
3566 16.976 14.374 14.374 4.866
3923 16.852 13.906 13.906 4.706
4315 15.927 14.024 14.024 4.648
4747 16.120 11.554 11.554 4.279
5221 13.774 11.201 11.201 3.790
5744 10.886 6.861 6.861 2.317
6318 8.165 4.491 4.491 1.568
6950 6.695 3.275 3.275 0.982
7645 6.048 2.805 2.805 0.831
8409 5.828 2.649 2.649 0.761
9250 5.779 2.587 2.587 0.736
10175 5.628 2.519 2.519 0.723
11193 5.610 2.533 2.533 0.722
12312 5.665 2.481 2.481 0.719
13543 5.581 2.471 2.471 0.717
14897 5.497 2.479 2.479 0.718
16387 5.549 2.489 2.489 0.717
18026 5.578 2.468 2.468 0.717
19829 5.559 2.479 2.479 0.719
21811 5.554 2.444 2.444 0.713
23993 5.528 2.446 2.446 0.713
26392 5.530 2.438 2.438 0.711
29031 5.522 2.443 2.443 0.714
31934 5.504 2.426 2.426 0.715
35127 5.551 2.450 2.450 0.714
38640 5.560 2.431 2.431 0.716
42504 5.612 2.444 2.444 0.717
46755 5.580 2.421 2.421 0.713
51430 5.603 2.405 2.405 0.715
56573 5.637 2.411 2.411 0.716
62230 5.597 2.406 2.406 0.715
68454 5.598 2.409 2.409 0.714
75299 5.620 2.434 2.434 0.714
82829 5.573 2.434 2.434 0.716
91112 5.584 2.426 2.426 0.714
100223 5.550 2.435 2.435 0.714
110245 5.579 2.433 2.433 0.715
121270 5.615 2.438 2.438 0.716
133397 5.609 2.441 2.441 0.716
146736 5.568 2.420 2.420 0.716
161410 5.622 2.406 2.406 0.715
177551 5.637 2.415 2.415 0.716
195306 5.548 2.409 2.409 0.717
214837 5.511 2.435 2.435 0.716
236320 5.630 2.414 2.414 0.716
259952 5.582 2.429 2.429 0.716
285947 5.568 2.455 2.455 0.713
314542 5.594 2.480 2.480 0.716
345996 5.589 2.512 2.512 0.716
380596 5.604 2.504 2.504 0.722
418656 5.604 2.546 2.546 0.724
460521 5.623 2.515 2.515 0.724
506573 5.620 2.504 2.504 0.722
557231 5.708 2.513 2.513 0.723
612954 5.592 2.511 2.511 0.723
674249 5.527 2.499 2.499 0.712
741674 5.498 2.490 2.490 0.714
815842 5.584 2.526 2.526 0.716
897426 5.539 2.515 2.515 0.714
987168 5.526 2.515 2.515 0.713
