buffer_size: 9 KB	read: 40.192 GB/s	write: 22.297 GB/s
buffer_size: 9 KB	read: 41.112 GB/s	write: 21.796 GB/s
buffer_size: 9 KB	read: 39.732 GB/s	write: 20.670 GB/s
buffer_size: 9 KB	read: 38.053 GB/s	write: 21.983 GB/s
buffer_size: 9 KB	read: 34.357 GB/s	write: 21.558 GB/s
buffer_size: 9 KB	read: 33.262 GB/s	write: 20.706 GB/s
buffer_size: 9 KB	read: 39.335 GB/s	write: 22.228 GB/s
buffer_size: 9 KB	read: 41.179 GB/s	write: 22.497 GB/s
buffer_size: 9 KB	read: 40.196 GB/s	write: 22.584 GB/s
buffer_size: 9 KB	read: 41.381 GB/s	write: 22.007 GB/s
buffer_size: 9 KB	read: 41.328 GB/s	write: 21.942 GB/s
buffer_size: 10 KB	read: 41.471 GB/s	write: 22.761 GB/s
buffer_size: 10 KB	read: 41.602 GB/s	write: 22.524 GB/s
buffer_size: 10 KB	read: 27.397 GB/s	write: 19.135 GB/s
buffer_size: 10 KB	read: 35.656 GB/s	write: 21.974 GB/s
buffer_size: 10 KB	read: 39.243 GB/s	write: 18.492 GB/s
buffer_size: 10 KB	read: 35.459 GB/s	write: 21.960 GB/s
buffer_size: 10 KB	read: 41.503 GB/s	write: 22.159 GB/s
buffer_size: 10 KB	read: 41.421 GB/s	write: 22.386 GB/s
buffer_size: 10 KB	read: 40.389 GB/s	write: 22.540 GB/s
buffer_size: 10 KB	read: 41.482 GB/s	write: 22.259 GB/s
buffer_size: 10 KB	read: 41.506 GB/s	write: 22.050 GB/s
buffer_size: 11 KB	read: 41.366 GB/s	write: 22.680 GB/s
buffer_size: 11 KB	read: 40.100 GB/s	write: 21.651 GB/s
buffer_size: 11 KB	read: 39.236 GB/s	write: 21.847 GB/s
buffer_size: 11 KB	read: 40.165 GB/s	write: 21.647 GB/s
buffer_size: 11 KB	read: 39.305 GB/s	write: 21.907 GB/s
buffer_size: 11 KB	read: 41.393 GB/s	write: 0.000 GB/s
buffer_size: 11 KB	read: 41.280 GB/s	write: 0.985 GB/s
buffer_size: 11 KB	read: 39.170 GB/s	write: 22.594 GB/s
buffer_size: 11 KB	read: 40.578 GB/s	write: 22.146 GB/s
buffer_size: 11 KB	read: 41.221 GB/s	write: 22.016 GB/s
buffer_size: 11 KB	read: 41.412 GB/s	write: 22.356 GB/s
buffer_size: 12 KB	read: 39.357 GB/s	write: 22.303 GB/s
buffer_size: 12 KB	read: 40.171 GB/s	write: 21.788 GB/s
buffer_size: 12 KB	read: 40.352 GB/s	write: 21.633 GB/s
buffer_size: 12 KB	read: 41.381 GB/s	write: 21.850 GB/s
buffer_size: 12 KB	read: 40.719 GB/s	write: 22.648 GB/s
buffer_size: 12 KB	read: 39.953 GB/s	write: 22.565 GB/s
buffer_size: 12 KB	read: 41.484 GB/s	write: 22.511 GB/s
