9 41.754 22.957 22.957 40.423
10 41.744 22.889 22.889 40.032
11 41.868 23.014 23.014 40.656
12 41.951 23.040 23.040 39.753
13 41.996 23.025 23.025 39.859
14 42.214 23.106 23.106 39.993
16 42.335 23.031 23.031 40.475
17 42.195 22.954 22.954 40.274
19 42.436 22.966 22.966 40.555
21 42.517 22.834 22.834 40.209
23 42.364 22.925 22.925 40.000
25 42.610 22.651 22.651 40.115
28 42.516 22.691 22.691 40.124
30 42.496 22.646 22.646 40.027
33 40.388 22.372 22.372 23.857
37 34.782 20.909 20.909 10.345
40 34.639 20.607 20.607 10.034
44 34.619 20.577 20.577 10.168
49 34.647 20.613 20.613 9.967
54 34.781 20.444 20.444 10.177
59 34.948 20.597 20.597 10.197
65 34.764 20.558 20.558 9.975
72 34.704 20.574 20.574 10.088
79 34.768 20.581 20.581 10.044
87 34.745 20.574 20.574 9.972
95 34.697 20.615 20.615 9.870
105 34.672 20.620 20.620 9.991
115 34.815 20.608 20.608 9.926
127 34.696 20.583 20.583 9.796
140 34.550 20.539 20.539 9.768
154 34.403 20.595 20.595 9.703
169 34.475 20.578 20.578 9.663
186 32.098 20.208 20.208 7.905
204 33.059 20.455 20.455 9.750
225 31.942 20.114 20.114 8.266
247 30.034 19.726 19.726 6.854
272 29.441 19.266 19.266 6.689
299 28.894 19.042 19.042 5.989
329 27.357 18.476 18.476 5.210
362 26.489 18.103 18.103 4.853
398 26.755 18.369 18.369 5.050
438 26.454 18.046 18.046 4.758
482 25.944 17.803 17.803 4.571
530 25.047 17.546 17.546 4.399
583 24.947 17.618 17.618 4.325
641 25.389 17.765 17.765 4.368
706 25.487 17.796 17.796 4.403
776 25.499 17.814 17.814 4.408
854 25.016 17.699 17.699 4.332
939 25.029 17.590 17.590 4.333
1033 24.960 17.669 17.669 4.333
1136 25.410 17.602 17.602 4.387
1250 25.479 17.771 17.771 4.401
1375 25.539 17.781 17.781 4.407
1512 25.526 17.794 17.794 4.405
1664 25.107 17.790 17.790 4.353
1830 25.061 17.672 17.672 4.333
2013 25.512 17.720 17.720 4.401
2214 25.614 17.790 17.790 4.412
2436 25.580 17.825 17.825 4.407
2679 25.522 17.764 17.764 4.410
2947 25.475 17.678 17.678 4.411
3242 25.031 17.535 17.535 4.341
3566 25.122 17.578 17.578 4.394
3923 25.549 17.691 17.691 4.414
4315 25.553 17.821 17.821 4.406
4747 25.541 17.780 17.780 4.414
5221 25.592 17.676 17.676 4.389
5744 25.576 17.719 17.719 4.404
6318 25.601 17.811 17.811 4.407
6950 25.561 17.794 17.794 4.407
7645 25.474 17.801 17.801 4.401
8409 25.031 17.677 17.677 4.345
9250 25.061 17.667 17.667 4.339
10175 25.564 17.679 17.679 4.413
11193 25.008 17.649 17.649 4.386
12312 25.567 17.819 17.819 4.412
13543 24.988 17.621 17.621 4.339
14897 25.046 17.655 17.655 4.340
16387 25.054 17.488 17.488 4.339
18026 25.054 17.684 17.684 4.337
19829 25.068 17.563 17.563 4.339
21811 24.982 17.639 17.639 4.332
23993 23.657 16.826 16.826 4.315
26392 21.374 14.070 14.070 4.091
29031 18.790 13.143 13.143 3.871
31934 14.985 10.470 10.470 2.662
35127 12.958 9.320 9.320 1.978
38640 11.828 8.479 8.479 1.677
42504 10.738 8.114 8.114 1.562
46755 11.689 8.073 8.073 1.354
51430 9.991 7.810 7.810 1.297
56573 10.835 7.956 7.956 1.310
62230 11.052 7.939 7.939 1.260
68454 11.127 7.906 7.906 1.264
75299 10.062 7.728 7.728 1.292
82829 10.156 7.767 7.767 1.341
91112 10.533 7.804 7.804 1.318
100223 11.001 7.961 7.961 1.249
110245 9.852 7.738 7.738 1.242
121270 9.947 7.779 7.779 1.265
133397 10.895 7.854 7.854 1.240
146736 10.341 7.762 7.762 1.254
161410 10.191 7.738 7.738 1.293
177551 11.002 7.758 7.758 1.336
195306 11.291 7.937 7.937 1.295
214837 10.149 7.863 7.863 1.275
236320 11.090 7.860 7.860 1.270
259952 10.337 7.750 7.750 1.247
285947 10.856 7.766 7.766 1.352
314542 10.608 7.733 7.733 1.249
345996 10.570 7.715 7.715 1.360
380596 10.830 7.868 7.868 1.233
418656 10.562 7.707 7.707 1.329
460521 10.979 7.686 7.686 1.319
506573 10.287 7.852 7.852 1.344
557231 11.009 7.730 7.730 1.273
612954 11.192 7.961 7.961 1.314
674249 11.100 7.879 7.879 1.265
741674 10.910 7.882 7.882 1.281
815842 11.147 7.892 7.892 1.214
897426 10.850 7.815 7.815 1.244
987168 10.447 7.711 7.711 1.211
